"age","workclass","education","education.num","marital.status","occupation","relationship","race","sex","capital.gain","capital.loss","hours.per.week","native.country","income"
43,"Private","Postgraduate",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,2547,40,"United States",">50K"
51,"Private","Higher Education",10,"Divorced","Adm-clerical","Unmarried","White","Female",0,2547,40,"United States",">50K"
43,"Private","Postgraduate",14,"Divorced","Prof-specialty","Unmarried","White","Female",0,2547,40,"United States",">50K"
48,"Private","Higher Education",13,"Married-spouse-absent","Sales","Unmarried","White","Female",0,2472,70,"United States",">50K"
40,"Self-emp-not-inc","Higher Education",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2444,45,"United States",">50K"
50,"Private","High School",9,"Widowed","Sales","Not-in-family","White","Female",0,2444,72,"United States",">50K"
51,"State-gov","Higher Education",11,"Divorced","Tech-support","Not-in-family","White","Male",0,2444,39,"United States",">50K"
42,"Private","Higher Education",10,"Never-married","Exec-managerial","Not-in-family","White","Female",0,2444,40,"United States",">50K"
39,"Private","Postgraduate",14,"Never-married","Sales","Not-in-family","White","Male",0,2444,45,"United States",">50K"
40,"Local-gov","Higher Education",10,"Never-married","Protective-serv","Not-in-family","White","Male",0,2444,40,"United States",">50K"
38,"Private","Higher Education",13,"Never-married","Sales","Not-in-family","White","Female",0,2444,45,"United States",">50K"
33,"Private","Higher Education",11,"Separated","Craft-repair","Not-in-family","White","Male",0,2444,42,"United States",">50K"
43,"Private","Higher Education",12,"Divorced","Craft-repair","Not-in-family","White","Male",0,2444,70,"United States",">50K"
50,"Self-emp-inc","Middle",7,"Never-married","Exec-managerial","Other-relative","White","Male",0,2444,40,"United States",">50K"
44,"Private","Higher Education",10,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2415,6,"United States",">50K"
51,"Self-emp-not-inc","Higher Education",13,"Married-civ-spouse","Sales","Husband","Asian-Pac-Islander","Male",0,2415,40,"Asia",">50K"
41,"Private","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,40,"United States",">50K"
37,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,60,"United States",">50K"
55,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,35,"Europe",">50K"
39,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,60,"United States",">50K"
42,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,60,"United States",">50K"
49,"Private","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,55,"United States",">50K"
47,"Self-emp-not-inc","High School",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,50,"United States",">50K"
41,"Local-gov","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,45,"United States",">50K"
55,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,50,"United States",">50K"
39,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,2415,65,"United States",">50K"
42,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,60,"United States",">50K"
46,"Private","Postgraduate",14,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,65,"United States",">50K"
40,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,45,"United States",">50K"
32,"Private","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,48,"United States",">50K"
41,"Self-emp-inc","Higher Education",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,55,"United States",">50K"
60,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,80,"United States",">50K"
31,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,70,"Asia",">50K"
58,"Self-emp-not-inc","Higher Education",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2415,40,"United States",">50K"
37,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,50,"United States",">50K"
44,"Self-emp-not-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,50,"United States",">50K"
55,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,50,"United States",">50K"
44,"Self-emp-inc","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,55,"United States",">50K"
39,"Private","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,2415,67,"Asia",">50K"
39,"Private","Higher Education",10,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2415,99,"United States",">50K"
62,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2415,60,"United States",">50K"
31,"Self-emp-not-inc","High School",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,2415,40,"United States",">50K"
46,"Private","Higher Education",13,"Married-civ-spouse","Adm-clerical","Husband","Asian-Pac-Islander","Male",0,2415,35,"Asia",">50K"
46,"Self-emp-not-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,80,"United States",">50K"
39,"Self-emp-inc","Higher Education",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2415,40,"United States",">50K"
39,"Private","Higher Education",15,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,99,"United States",">50K"
59,"Private","Postgraduate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,45,"United States",">50K"
50,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,60,"United States",">50K"
53,"Self-emp-not-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2415,40,"United States",">50K"
50,"Self-emp-not-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,30,"United States",">50K"
41,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,2415,55,"United States",">50K"
36,"Private","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,45,"United States",">50K"
38,"Private","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,90,"United States",">50K"
54,"Private","Higher Education",10,"Married-civ-spouse","Sales","Husband","White","Male",0,2415,50,"United States",">50K"
50,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,2415,20,"United States",">50K"
47,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2415,45,"United States",">50K"
67,"Private","Higher Education",13,"Widowed","Exec-managerial","Not-in-family","White","Male",0,2392,40,"United States",">50K"
67,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,75,"United States",">50K"
72,"Self-emp-not-inc","Postgraduate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2392,25,"United States",">50K"
46,"Self-emp-inc","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,50,"United States",">50K"
78,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,40,"United States",">50K"
68,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2392,40,"United States",">50K"
68,"State-gov","Postgraduate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2377,60,"United States",">50K"
49,"Self-emp-inc","High School",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2377,40,"United States",">50K"
70,"Self-emp-not-inc","Higher Education",13,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2377,12,"United States",">50K"
27,"Private","Higher Education",10,"Married-civ-spouse","Adm-clerical","Wife","Black","Female",0,2377,20,"United States","<=50K"
81,"Private","High School",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2377,26,"United States",">50K"
66,"Self-emp-not-inc","Postgraduate",16,"Married-civ-spouse","Sales","Husband","White","Male",0,2377,25,"United States",">50K"
71,"Private","High School",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2377,45,"United States",">50K"
68,"Private","Higher Education",10,"Married-civ-spouse","Sales","Husband","White","Male",0,2377,55,"United States",">50K"
52,"Private","High School",9,"Married-civ-spouse","Sales","Husband","Black","Male",0,2377,40,"United States","<=50K"
70,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2377,50,"United States",">50K"
61,"Self-emp-not-inc","High School",9,"Married-civ-spouse","Farming-fishing","Husband","White","Male",0,2352,50,"United States","<=50K"
60,"State-gov","Higher Education",13,"Divorced","Prof-specialty","Not-in-family","White","Female",0,2339,40,"United States","<=50K"
49,"Self-emp-inc","Higher Education",10,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2339,50,"United States","<=50K"
25,"Private","Higher Education",13,"Never-married","Prof-specialty","Own-child","White","Female",0,2339,35,"United States","<=50K"
28,"Private","Higher Education",15,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2339,40,"Canada","<=50K"
40,"Self-emp-not-inc","Higher Education",15,"Divorced","Other-service","Not-in-family","White","Female",0,2339,35,"United States","<=50K"
55,"Local-gov","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,2267,40,"United States","<=50K"
33,"Private","High School",9,"Divorced","Craft-repair","Not-in-family","White","Male",0,2258,84,"United States","<=50K"
30,"Self-emp-not-inc","Higher Education",10,"Never-married","Sales","Other-relative","Asian-Pac-Islander","Male",0,2258,40,"Africa","<=50K"
38,"Private","Higher Education",10,"Separated","Machine-op-inspct","Not-in-family","White","Male",0,2258,55,"United States",">50K"
46,"State-gov","Higher Education",12,"Divorced","Adm-clerical","Unmarried","White","Male",0,2258,38,"United States",">50K"
29,"Private","Higher Education",13,"Never-married","Exec-managerial","Not-in-family","White","Female",0,2258,45,"United States",">50K"
39,"Private","High School",9,"Never-married","Craft-repair","Own-child","White","Male",0,2258,42,"United States",">50K"
47,"Private","Higher Education",13,"Divorced","Exec-managerial","Not-in-family","White","Male",0,2258,40,"United States",">50K"
26,"Private","Higher Education",13,"Never-married","Exec-managerial","Not-in-family","White","Male",0,2258,45,"United States",">50K"
27,"Self-emp-not-inc","High School",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,2258,50,"United States","<=50K"
23,"Private","Higher Education",13,"Never-married","Prof-specialty","Own-child","White","Female",0,2258,40,"United States",">50K"
34,"Private","Postgraduate",14,"Never-married","Prof-specialty","Not-in-family","White","Male",0,2258,50,"United States","<=50K"
33,"Private","High School",8,"Divorced","Craft-repair","Not-in-family","White","Male",0,2258,42,"United States","<=50K"
57,"Private","Higher Education",10,"Widowed","Adm-clerical","Unmarried","White","Female",0,2258,38,"United States",">50K"
44,"Federal-gov","Higher Education",13,"Divorced","Tech-support","Not-in-family","White","Male",0,2258,40,"United States",">50K"
48,"Private","High School",9,"Divorced","Exec-managerial","Not-in-family","White","Female",0,2258,40,"United States",">50K"
31,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2246,45,"United States",">50K"
55,"Local-gov","High School",9,"Married-civ-spouse","Prof-specialty","Other-relative","White","Female",0,2246,40,"United States",">50K"
70,"Self-emp-not-inc","Higher Education",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2246,40,"United States",">50K"
70,"Self-emp-not-inc","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2246,8,"United States",">50K"
73,"Private","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2246,40,"United States",">50K"
23,"Self-emp-not-inc","Higher Education",13,"Never-married","Adm-clerical","Own-child","White","Male",0,2231,40,"United States",">50K"
49,"Local-gov","Middle",5,"Widowed","Handlers-cleaners","Unmarried","White","Male",0,2231,40,"United States",">50K"
27,"Local-gov","Higher Education",10,"Never-married","Protective-serv","Not-in-family","White","Male",0,2231,40,"United States",">50K"
68,"Private","High School",9,"Widowed","Adm-clerical","Not-in-family","White","Female",0,2206,30,"United States","<=50K"
65,"Private","High School",9,"Divorced","Adm-clerical","Unmarried","White","Female",0,2206,59,"Canada","<=50K"
20,"Private","Higher Education",12,"Never-married","Other-service","Own-child","White","Female",0,2205,18,"United States","<=50K"
32,"Private","Higher Education",10,"Never-married","Machine-op-inspct","Other-relative","White","Female",0,2205,40,"Europe","<=50K"
42,"Self-emp-inc","Postgraduate",14,"Divorced","Exec-managerial","Unmarried","Asian-Pac-Islander","Male",0,2201,60,"Asia",">50K"
45,"Private","High School",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2179,45,"United States","<=50K"
47,"Self-emp-not-inc","Primary",3,"Married-civ-spouse","Sales","Husband","White","Male",0,2179,50,"Mexico","<=50K"
34,"Private","Higher Education",10,"Married-civ-spouse","Transport-moving","Husband","Black","Male",0,2179,40,"United States","<=50K"
65,"Self-emp-not-inc","Higher Education",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2174,10,"United States",">50K"
70,"Private","High School",9,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,2174,40,"United States",">50K"
75,"Self-emp-not-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2174,50,"United States",">50K"
73,"Private","Higher Education",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2174,50,"United States",">50K"
68,"Self-emp-not-inc","Higher Education",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,2149,40,"United States","<=50K"
74,"Self-emp-not-inc","High School",9,"Married-civ-spouse","Sales","Husband","White","Male",0,2149,20,"United States","<=50K"
30,"Private","High School",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2057,40,"United States","<=50K"
29,"Private","High School",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,2057,20,"United States","<=50K"
38,"Federal-gov","High School",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2051,40,"United States","<=50K"
30,"Private","Higher Education",10,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,40,"United States","<=50K"
52,"Private","High School",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,2051,38,"United States","<=50K"
54,"Private","High School",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,40,"United States","<=50K"
29,"Private","Higher Education",11,"Married-civ-spouse","Tech-support","Husband","White","Male",0,2051,40,"United States","<=50K"
34,"Private","High School",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2051,55,"United States","<=50K"
38,"Private","High School",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2051,40,"Europe","<=50K"
34,"Private","Higher Education",12,"Married-civ-spouse","Tech-support","Husband","White","Male",0,2042,10,"United States","<=50K"
49,"Local-gov","High School",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2002,40,"United States","<=50K"
26,"Private","Higher Education",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,2002,40,"United States","<=50K"
59,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2002,50,"United States","<=50K"
36,"Private","High School",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,2002,40,"United States","<=50K"
34,"Self-emp-inc","High School",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,2002,40,"United States","<=50K"
33,"Private","Higher Education",13,"Never-married","Handlers-cleaners","Not-in-family","White","Male",0,2001,40,"United States","<=50K"
25,"Private","High School",9,"Never-married","Craft-repair","Not-in-family","White","Male",0,2001,50,"United States","<=50K"
19,"Private","Higher Education",10,"Never-married","Adm-clerical","Own-child","White","Female",0,2001,40,"United States","<=50K"
24,"Private","High School",9,"Never-married","Adm-clerical","Not-in-family","White","Female",0,2001,37,"United States","<=50K"
34,"Private","High School",9,"Never-married","Machine-op-inspct","Not-in-family","Black","Male",0,2001,40,"United States","<=50K"
35,"Private","Higher Education",13,"Divorced","Sales","Not-in-family","White","Female",0,1980,65,"United States","<=50K"
28,"Local-gov","Higher Education",12,"Never-married","Adm-clerical","Not-in-family","White","Female",0,1980,40,"United States","<=50K"
44,"Private","Higher Education",10,"Separated","Exec-managerial","Not-in-family","White","Male",0,1980,45,"Europe","<=50K"
31,"Private","Higher Education",11,"Never-married","Transport-moving","Own-child","White","Male",0,1980,60,"United States","<=50K"
32,"Private","Higher Education",10,"Separated","Tech-support","Not-in-family","Amer-Indian-Eskimo","Male",0,1980,40,"United States","<=50K"
45,"Private","High School",9,"Divorced","Other-service","Not-in-family","White","Male",0,1980,40,"United States","<=50K"
50,"Private","High School",9,"Never-married","Adm-clerical","Not-in-family","White","Male",0,1980,40,"United States","<=50K"
27,"Private","Middle",6,"Never-married","Sales","Other-relative","White","Male",0,1980,40,"United States","<=50K"
51,"Private","Higher Education",10,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United States",">50K"
40,"Private","Higher Education",12,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,60,"United States",">50K"
41,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,65,"United States",">50K"
49,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United States",">50K"
37,"Private","Higher Education",11,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,40,"United States",">50K"
36,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,1977,45,"United States",">50K"
35,"Private","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,80,"United States",">50K"
29,"Self-emp-inc","High School",9,"Married-civ-spouse","Sales","Wife","White","Female",0,1977,25,"United States",">50K"
50,"Private","Higher Education",13,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,40,"United States",">50K"
46,"Private","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United States",">50K"
44,"Self-emp-not-inc","High School",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United States",">50K"
38,"Federal-gov","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United States",">50K"
45,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,55,"United States",">50K"
47,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"United States",">50K"
58,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United States",">50K"
48,"Private","Higher Education",15,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,40,"United States",">50K"
55,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United States",">50K"
51,"Private","Middle",6,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United States",">50K"
45,"Local-gov","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United States",">50K"
56,"Private","Postgraduate",14,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,44,"United States",">50K"
38,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,60,"United States",">50K"
45,"Private","Higher Education",11,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,50,"United States",">50K"
49,"Private","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,40,"United States",">50K"
36,"Private","High School",9,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United States",">50K"
49,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United States",">50K"
55,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United States",">50K"
34,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United States",">50K"
54,"Private","Postgraduate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United States",">50K"
42,"Self-emp-not-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,70,"United States",">50K"
25,"Local-gov","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United States",">50K"
55,"Self-emp-inc","High School",9,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United States",">50K"
58,"State-gov","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United States",">50K"
62,"Private","High School",9,"Married-civ-spouse","Transport-moving","Husband","White","Male",0,1977,60,"United States",">50K"
43,"Self-emp-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United States",">50K"
57,"Local-gov","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,1977,40,"United States",">50K"
42,"Self-emp-inc","Postgraduate",16,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"United States",">50K"
63,"Self-emp-not-inc","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male",0,1977,32,"Asia",">50K"
47,"Self-emp-not-inc","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United States",">50K"
37,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United States",">50K"
40,"Private","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,60,"United States",">50K"
43,"Private","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United States",">50K"
43,"State-gov","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,70,"United States",">50K"
32,"Private","Higher Education",15,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,60,"United States",">50K"
47,"Private","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,40,"United States",">50K"
39,"Federal-gov","Higher Education",10,"Married-civ-spouse","Handlers-cleaners","Husband","White","Male",0,1977,60,"United States",">50K"
53,"Private","Higher Education",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United States",">50K"
34,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United States",">50K"
36,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United States",">50K"
47,"Local-gov","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,41,"United States",">50K"
52,"Private","Higher Education",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United States",">50K"
42,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United States",">50K"
51,"Private","Postgraduate",14,"Married-civ-spouse","Protective-serv","Husband","White","Male",0,1977,40,"United States",">50K"
55,"Private","Postgraduate",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,20,"United States",">50K"
38,"Private","High School",9,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,99,"United States",">50K"
52,"Private","Higher Education",10,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United States",">50K"
60,"Federal-gov","High School",9,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,40,"United States",">50K"
55,"Private","Higher Education",11,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"Europe",">50K"
46,"Private","Postgraduate",14,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,40,"United States",">50K"
35,"Private","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,45,"United States",">50K"
59,"Self-emp-inc","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United States",">50K"
57,"Private","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,45,"United States",">50K"
46,"Private","Higher Education",10,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,50,"United States",">50K"
46,"Federal-gov","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,40,"United States",">50K"
52,"Private","High School",9,"Married-civ-spouse","Craft-repair","Husband","White","Male",0,1977,40,"United States",">50K"
45,"Private","Postgraduate",16,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1977,30,"United States",">50K"
37,"Private","Higher Education",13,"Married-civ-spouse","Tech-support","Husband","White","Male",0,1977,40,"United States",">50K"
46,"Private","Postgraduate",14,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,45,"United States",">50K"
44,"Private","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","Black","Male",0,1977,50,"United States",">50K"
45,"Private","Higher Education",11,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United States",">50K"
43,"Private","High School",9,"Married-civ-spouse","Machine-op-inspct","Husband","White","Male",0,1977,52,"United States",">50K"
54,"Local-gov","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United States",">50K"
50,"Private","Postgraduate",14,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United States",">50K"
45,"Private","Higher Education",13,"Married-civ-spouse","Prof-specialty","Husband","White","Male",0,1977,40,"United States",">50K"
27,"Private","Higher Education",13,"Married-civ-spouse","Exec-managerial","Husband","White","Male",0,1977,50,"United States",">50K"
36,"Private","Higher Education",13,"Married-civ-spouse","Sales","Husband","White","Male",0,1977,35,"United States",">50K"
