age,workclass,fnlwgt,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country.grouped,education.grouped
19,Private,206399,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United States,High School
60,Private,139586,11,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United States,Higher Education
49,Private,34545,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,40,United States,Higher Education
32,Private,117779,9,Never-married,Transport-moving,Own-child,White,Female,0,0,35,United States,High School
34,Private,204461,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United States,Postgraduate
43,Private,115323,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,40,United States,Higher Education
21,Private,256240,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United States,Middle
31,Private,109917,4,Separated,Craft-repair,Not-in-family,White,Female,0,0,40,United States,Middle
36,Local-gov,135786,5,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,25,United States,Middle
37,Local-gov,108540,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,High School
54,Self-emp-not-inc,71344,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,50,United States,Postgraduate
50,Self-emp-not-inc,131982,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,60,Africa,High School
47,Private,102308,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United States,Higher Education
31,Private,208657,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United States,Higher Education
24,State-gov,197731,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,49,United States,High School
43,Private,185129,13,Divorced,Tech-support,Own-child,White,Male,0,0,40,United States,Higher Education
49,Private,133669,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,Higher Education
58,Private,213975,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,40,United States,Higher Education
24,Private,241857,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,35,United States,Higher Education
57,Private,279636,11,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United States,Higher Education
36,Private,410034,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United States,Higher Education
31,State-gov,207505,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,70,United States,Postgraduate
33,Local-gov,248346,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United States,Higher Education
36,Private,258102,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United States,High School
28,Private,201954,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,65,United States,Higher Education
42,Private,202565,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Europe,Primary
23,Private,235071,10,Never-married,Exec-managerial,Own-child,White,Male,0,0,50,United States,Higher Education
42,State-gov,219682,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United States,Postgraduate
24,Private,454941,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,High School
54,Private,198546,14,Widowed,Adm-clerical,Unmarried,White,Female,0,0,38,United States,Postgraduate
18,Private,91525,9,Never-married,Sales,Other-relative,White,Male,0,0,25,United States,High School
36,Private,33983,11,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,42,United States,Higher Education
22,Private,141028,9,Never-married,Other-service,Own-child,Black,Male,0,0,30,United States,High School
39,Private,236391,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United States,High School
37,Private,98941,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United States,Postgraduate
31,Self-emp-inc,203488,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,Higher Education
63,Self-emp-inc,38472,10,Widowed,Sales,Not-in-family,White,Female,14084,0,60,United States,Higher Education
29,Self-emp-not-inc,162298,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United States,Higher Education
36,Self-emp-inc,77146,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,45,United States,Higher Education
43,Self-emp-inc,172826,10,Married-civ-spouse,Sales,Husband,White,Male,99999,0,55,United States,Higher Education
45,Private,243631,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,Asia,Postgraduate
44,Private,178134,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United States,Higher Education
53,Private,139671,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Higher Education
32,Private,171814,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United States,High School
42,State-gov,126094,9,Separated,Adm-clerical,Unmarried,White,Male,0,0,39,United States,High School
19,Private,292590,9,Married-civ-spouse,Sales,Other-relative,White,Female,0,0,25,United States,High School
45,Private,123075,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,High School
46,Private,110171,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7688,0,40,United States,Higher Education
25,Self-emp-inc,161007,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,High School
55,Private,104724,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Postgraduate
48,Federal-gov,188081,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,High School
28,Self-emp-inc,113870,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United States,Higher Education
46,Private,308334,2,Widowed,Other-service,Unmarried,Other,Female,0,0,30,Mexico,Primary
17,Private,120068,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,17,United States,Middle
52,Self-emp-not-inc,313243,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United States,High School
38,Private,396595,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United States,Higher Education
42,Private,149210,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,45,United States,Higher Education
47,Private,408788,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Higher Education
21,Private,216070,12,Married-civ-spouse,Adm-clerical,Wife,Amer-Indian-Eskimo,Female,0,0,46,United States,Higher Education
39,Self-emp-inc,329980,13,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United States,Higher Education
46,Private,73434,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United States,Postgraduate
28,Private,188711,13,Never-married,Transport-moving,Unmarried,White,Male,0,0,20,United States,Higher Education
26,Private,188767,13,Never-married,Sales,Own-child,White,Male,0,0,40,United States,Higher Education
18,Private,205894,7,Never-married,Sales,Own-child,White,Male,0,0,15,United States,Middle
34,Self-emp-not-inc,49707,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United States,High School
62,Private,69867,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United States,Higher Education
59,Private,195820,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,High School
60,Self-emp-not-inc,193038,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,15,United States,Higher Education
48,Private,200471,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United States,Higher Education
52,Private,146767,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United States,High School
38,State-gov,343642,9,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United States,High School
20,Private,214387,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United States,High School
23,Local-gov,203353,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,45,United States,Higher Education
42,Private,383493,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United States,Higher Education
34,State-gov,204461,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United States,Postgraduate
38,Local-gov,200153,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United States,Higher Education
25,Private,383306,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United States,Higher Education
56,Private,266091,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,Mexico,Higher Education
45,Private,108993,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United States,High School
33,Private,163392,9,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,0,0,48,United States,High School
22,State-gov,96862,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United States,Higher Education
33,Private,192002,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,Canada,Postgraduate
22,Private,496856,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United States,Higher Education
21,Private,118712,11,Never-married,Craft-repair,Own-child,White,Male,0,1504,40,United States,Higher Education
65,Private,113323,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
48,Self-emp-not-inc,243631,10,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,7688,0,40,United States,Higher Education
50,Local-gov,231725,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United States,High School
68,Private,165017,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Europe,High School
43,Private,128170,10,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United States,Higher Education
37,Private,238311,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,36,United States,High School
23,Private,336360,4,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United States,Middle
35,Private,341643,13,Never-married,Other-service,Other-relative,White,Male,0,0,50,United States,Higher Education
53,Private,263729,10,Separated,Adm-clerical,Not-in-family,White,Female,0,0,40,United States,Higher Education
30,Private,308812,10,Never-married,Sales,Not-in-family,White,Female,0,0,60,United States,Higher Education
23,Private,380544,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,Higher Education
53,Self-emp-not-inc,35295,13,Never-married,Sales,Unmarried,White,Male,0,0,60,United States,Higher Education
33,Private,362747,10,Never-married,Other-service,Not-in-family,Black,Female,0,0,35,United States,Higher Education
42,Private,288154,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,89,United States,Higher Education
39,Private,242922,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United States,High School
44,Local-gov,56651,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,52,United States,Higher Education
62,Private,162825,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,High School
59,Private,246262,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United States,Higher Education
20,Private,219122,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United States,Higher Education
28,Private,99478,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United States,High School
30,Private,156890,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United States,High School
31,Private,377850,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,65,United States,High School
45,Private,154308,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United States,Postgraduate
27,Private,215014,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,35,Mexico,High School
45,Federal-gov,60267,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,High School
58,Self-emp-not-inc,248841,9,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United States,High School
36,Private,32958,10,Separated,Adm-clerical,Other-relative,White,Female,0,0,40,United States,Higher Education
33,Local-gov,173005,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1848,45,United States,Higher Education
45,Private,30457,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United States,Higher Education
38,Private,103925,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United States,High School
61,Private,56009,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United States,Higher Education
34,Private,146980,9,Married-spouse-absent,Other-service,Unmarried,White,Female,0,0,65,United States,High School
33,Private,169879,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3103,0,47,United States,Higher Education
40,Private,77357,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Higher Education
33,Private,279524,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United States,High School
62,Private,270092,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Postgraduate
53,Self-emp-not-inc,30008,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,35,United States,Middle
57,Self-emp-not-inc,138892,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,15,United States,Middle
38,Private,196554,15,Separated,Prof-specialty,Not-in-family,White,Male,0,0,35,United States,Higher Education
29,Private,133136,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,High School
57,Self-emp-not-inc,57071,10,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,40,United States,Higher Education
39,Self-emp-inc,180804,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,High School
45,State-gov,213646,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United States,Higher Education
29,Federal-gov,155970,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United States,High School
71,Private,97870,14,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,15,Europe,Postgraduate
57,Self-emp-not-inc,123778,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United States,High School
37,Private,372525,14,Divorced,Prof-specialty,Unmarried,White,Male,0,0,48,United States,Postgraduate
65,Self-emp-inc,115922,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
29,Private,146343,9,Never-married,Other-service,Unmarried,Black,Female,0,0,25,United States,High School
49,Private,148398,9,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,40,United States,High School
28,Private,263728,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,Higher Education
37,Private,103121,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1848,40,United States,Higher Education
46,Federal-gov,219967,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Higher Education
57,Self-emp-inc,172654,15,Married-civ-spouse,Transport-moving,Husband,White,Male,15024,0,50,United States,Higher Education
28,Private,145284,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,70,United States,High School
32,Private,204374,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United States,High School
30,Self-emp-not-inc,146161,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,50,United States,High School
39,Private,148903,9,Divorced,Sales,Not-in-family,White,Female,4687,0,50,United States,High School
23,Private,482082,8,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,21,Mexico,High School
44,Private,307468,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,29,United States,Higher Education
33,Local-gov,281784,13,Never-married,Tech-support,Not-in-family,Black,Male,0,1564,52,United States,Higher Education
35,Private,334999,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United States,High School
56,Self-emp-not-inc,48102,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1977,50,United States,Higher Education
49,Private,198759,12,Married-civ-spouse,Sales,Husband,White,Male,15024,0,60,United States,Higher Education
31,Private,210008,9,Never-married,Sales,Own-child,White,Female,0,0,40,United States,High School
59,Private,171355,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,Postgraduate
73,Private,148003,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,20051,0,36,United States,Higher Education
31,Private,117507,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United States,High School
30,Private,193298,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United States,High School
46,Private,53893,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United States,Higher Education
43,Federal-gov,32016,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United States,Postgraduate
53,Private,302868,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,Higher Education
20,Private,130840,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United States,Middle
48,Local-gov,123075,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United States,Postgraduate
26,Private,205109,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United States,Postgraduate
18,Private,106780,10,Never-married,Other-service,Own-child,White,Female,0,0,12,United States,Higher Education
41,Private,425049,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United States,High School
61,Self-emp-not-inc,163174,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United States,Higher Education
20,Private,60639,10,Never-married,Sales,Own-child,White,Female,0,0,28,United States,Higher Education
45,Private,178215,5,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United States,Middle
24,Private,205844,13,Never-married,Exec-managerial,Own-child,Black,Female,0,0,65,United States,Higher Education
43,Private,241895,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United States,Higher Education
31,Private,84130,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United States,Higher Education
47,Self-emp-not-inc,102583,13,Never-married,Sales,Not-in-family,White,Male,0,0,35,United States,Higher Education
41,Private,424478,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,45,United States,Higher Education
18,Private,188476,7,Never-married,Exec-managerial,Own-child,White,Male,0,0,20,United States,Middle
23,Private,272185,11,Never-married,Craft-repair,Own-child,White,Male,0,0,33,United States,Higher Education
56,Self-emp-inc,211804,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United States,Higher Education
35,Private,241001,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,44,United States,High School
23,Private,227070,10,Never-married,Other-service,Unmarried,White,Female,0,0,48,SudAmerica,Higher Education
52,Private,168381,9,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,0,0,40,Asia,High School
23,Private,56774,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United States,High School
47,State-gov,123219,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United States,Postgraduate
24,Private,388093,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,40,United States,Higher Education
41,Private,112763,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United States,Higher Education
59,Private,91384,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United States,Higher Education
29,Local-gov,115305,11,Married-civ-spouse,Protective-serv,Husband,White,Male,7688,0,40,United States,Higher Education
55,Private,158641,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,40,United States,High School
57,Private,180920,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United States,High School
41,Self-emp-not-inc,168098,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United States,Higher Education
45,Private,363087,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United States,High School
50,Private,128478,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United States,High School
30,Private,460408,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United States,High School
37,Private,231180,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United States,High School
25,Private,74883,13,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,1092,40,Asia,Higher Education
61,Self-emp-not-inc,503675,10,Married-civ-spouse,Sales,Husband,Black,Male,0,0,60,United States,Higher Education
22,Private,137862,10,Never-married,Adm-clerical,Other-relative,White,Female,0,0,16,United States,Higher Education
38,Private,391040,11,Separated,Tech-support,Unmarried,White,Female,0,0,20,United States,Higher Education
35,Self-emp-not-inc,198841,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United States,Higher Education
51,Private,204447,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United States,Higher Education
32,Self-emp-not-inc,112115,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United States,Higher Education
38,Private,193815,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,Europe,Higher Education
44,Private,167005,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,48,United States,High School
50,Local-gov,117496,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,7298,0,30,United States,High School
55,Private,106740,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United States,High School
26,Private,104045,9,Never-married,Other-service,Own-child,White,Female,0,0,30,United States,High School
50,Local-gov,97449,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48,United States,Higher Education
66,Self-emp-not-inc,104576,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,8,United States,Higher Education
67,Private,274451,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,United States,Middle
36,Local-gov,110866,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United States,Higher Education
57,Private,197642,10,Widowed,Other-service,Not-in-family,White,Female,0,0,40,United States,Higher Education
23,Private,200318,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,20,United States,Higher Education
26,State-gov,58039,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United States,Higher Education
47,Private,189680,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United States,Higher Education
55,Private,290124,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,Primary
32,Private,37380,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United States,Higher Education
33,Private,199227,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United States,Higher Education
41,Private,116797,9,Married-civ-spouse,Sales,Husband,White,Male,7298,0,50,United States,High School
46,Private,265266,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United States,Higher Education
56,Private,282023,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United States,Higher Education
30,Self-emp-not-inc,182089,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,85,United States,High School
51,Private,106819,4,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,19,United States,Middle
69,State-gov,208869,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,11,United States,Postgraduate
44,Private,236746,14,Divorced,Exec-managerial,Not-in-family,White,Male,10520,0,45,United States,Postgraduate
46,Self-emp-inc,170850,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United States,High School
17,Private,143868,5,Never-married,Other-service,Own-child,Black,Male,0,0,40,United States,Middle
